48efcfc2382ae91c65a509bcb1323a88üSean Michael KernerüJedi, eWeek / InternetNews / eSecurity Planet
bc4d80491a86b422ef6fe8faa60d9eeaüJared WattsüFounding Engineer, Upbound
3e425447da1910b0254fc58d7b764d5düRadu MateiüSoftware Engineer, Microsoft
1bd097f37a3a98785e3f997b5e01b67düRichard LiüCEO, Datawire
e4b330927f10cd09318dd27d036b4f97üVinothkumar SiddharthüSoftware Engineer, Amazon
042f84a5328deaeeca80d78d3fa37ef2üEddie ZaneskiüManager, Developer Relations, DigitalOcean
9929a9390f5cced8c330fb4204b1f367üJustin Santa BarbaraüSoftware Engineer, Google
9929a9390f5cced8c330fb4204b1f367üMike SplainüSenior DevOps Engineer, Sonos
aa819763db9f3e4a8d06208acc96ec32üIan ColdwaterüLead Platform Security Engineer, Heroku
e8b1d1673a49ebd0fc9ad657263c3aa2üKensaku KomatsuüTechnical Manager, NTT Communications
e8b1d1673a49ebd0fc9ad657263c3aa2üJun MakishiüSenior Architect, NTT Communications
4eeef6e82f130f5b3532b9bfcbe82f82üLee CalcoteüFounder, Layer5
4eeef6e82f130f5b3532b9bfcbe82f82üGirish RanganathanüPrincipal Architect, SolarWinds
c591b4a004812f6c5088587796cad484üTara BaskaraüSystem Engineer, GO-JEK
c591b4a004812f6c5088587796cad484üIqbal FarabiüSystem Engineer, GO-JEK
ef6158226820d00eb1f9cda537273b61üScott RigbyüDevOps Engineer, Codecademy
ef6158226820d00eb1f9cda537273b61üPaul CzarkowskiüDeveloper Advocate, Pivotal
f633327e5d0c83568a56a2a41f06081eüEmily Tanaka-DelgadoüDirector of DevRel Engagement, Oracle
f633327e5d0c83568a56a2a41f06081eüAnt KennedyüCTO, Gapsquare
f633327e5d0c83568a56a2a41f06081eüPriya ShahüCo-Founder, Sauce
f633327e5d0c83568a56a2a41f06081eüCharlie DaviesüCTO and Co-Founder, iGeolise
f633327e5d0c83568a56a2a41f06081eüAlfonso SantiagoüR&D Engineer, ELEM Biotech
35f5fff8674a4e5a5552213cb53e8a3eüJoe BedaüPrincipal Engineer, VMware
